Departure Date,Sum_of_Revenue
2018-07-05,289.0
2018-07-05,289.0
2018-07-09,289.0
2018-07-09,289.0
2018-07-05,310.0
2018-07-05,310.0
2018-07-06,396.0
2018-07-05,310.0
2018-07-05,310.0
2018-07-06,261.0
2018-07-06,261.0
2018-07-06,60.0
2018-07-06,60.0
2018-07-06,268.0
2018-07-06,268.0
2018-07-05,421.88
2018-07-05,421.88
2018-07-06,60.0
2018-07-06,60.0
2018-07-06,60.0
2018-07-06,60.0
2018-07-06,60.0
2018-09-05,1875.47
2018-09-05,1875.47
2018-09-05,1875.47
2018-08-06,1867.19
2018-08-06,1867.19
2018-07-04,442.81
2018-07-04,442.81
2018-07-05,379.5
2018-07-05,379.5
2018-07-28,5817.280000000002
2018-07-28,5817.280000000002
2018-08-05,6637.83
2018-08-05,6637.83
2018-09-28,6633.7
2018-09-28,6633.7
2018-07-06,125.0
2018-07-06,125.0
2018-07-06,125.0
2018-07-04,242.22
2018-07-04,242.22
2018-07-16,2366.11
2018-07-16,2366.11
2018-06-28,369.5
2018-06-28,369.5
2018-07-05,350.0
2018-07-05,350.0
2018-07-04,894.0
2018-07-04,894.0
2018-07-03,196.31
2018-07-03,196.31
2018-07-06,480.0
2018-07-06,480.0
2018-08-23,6426.75
2018-08-23,6426.75
2018-07-24,8050.11
2018-07-24,8050.11
2018-07-28,1844.91
2018-07-28,1844.91
2018-07-11,5678.670000000001
2018-07-11,5678.670000000001
2018-07-06,380.01
2018-07-06,380.01
2018-07-06,283.0
2018-07-04,1420.11
2018-07-04,1420.11
2018-07-17,1550.14
2018-07-17,1550.14
2018-07-23,2121.86
2018-07-23,2121.86
2018-07-04,506.27
2018-07-04,506.27
2018-07-04,607.1
2018-07-04,607.1
2018-07-19,2020.48
2018-07-19,2020.48
2018-07-09,650.0
2018-07-09,650.0
2018-07-04,245.41
2018-07-04,245.41
2018-07-24,3319.8
2018-07-24,3319.8
2018-07-20,3607.740000000001
2018-07-20,3607.740000000001
2018-07-04,893.0
2018-07-04,893.0
2018-07-04,893.0
2018-07-04,1715.5
2018-07-04,1715.5
2018-07-17,3145.370000000001
2018-07-17,3145.370000000001
2018-07-15,12909.92
2018-07-15,12909.92
2018-07-26,4542.27
2018-07-26,4542.27
2018-07-13,638.0600000000002
2018-07-13,638.0600000000002
2018-07-09,261.0
2018-07-09,261.0
2018-07-09,261.0
2018-07-18,480.0
2018-07-18,480.0
